iter	Passed	Remaining
630	1253	732
631	1254	730
632	1255	727
633	1256	725
634	1257	722
635	1258	720
636	1259	717
637	1261	715
638	1262	713
639	1263	710
640	1264	708
641	1265	705
642	1267	703
643	1268	701
644	1269	698
645	1270	696
646	1271	693
647	1272	691
648	1273	688
649	1275	687
650	1277	684
651	1278	682
652	1279	679
653	1280	677
654	1281	674
655	1282	672
656	1283	670
657	1284	667
658	1285	665
659	1286	662
660	1287	660
661	1289	658
662	1291	656
663	1292	654
664	1293	651
665	1294	649
666	1296	647
667	1297	644
668	1298	642
669	1299	640
670	1301	637
671	1302	635
672	1305	634
673	1306	631
674	1307	629
675	1308	627
676	1309	624
677	1311	622
678	1312	620
679	1313	618
680	1314	615
681	1315	613
682	1317	611
683	1319	609
684	1321	607
685	1322	605
686	1323	602
687	1324	600
688	1325	598
689	1326	596
690	1328	593
691	1329	591
692	1330	589
693	1333	588
694	1335	586
695	1336	583
696	1337	581
697	1339	579
698	1340	577
699	1341	575
700	1343	572
701	1344	570
702	1345	568
703	1348	567
704	1350	565
705	1351	562
706	1352	560
707	1353	558
708	1354	556
709	1356	553
710	1357	551
711	1358	549
712	1359	547
713	1360	545
714	1362	543
715	1364	541
716	1365	538
717	1366	536
718	1367	534
719	1368	532
720	1370	530
721	1371	527
722	1372	525
723	1373	523
724	1374	521
725	1375	519
726	1377	517
727	1379	515
728	1380	513
729	1382	511
730	1383	509
731	1384	506
732	1386	504
733	1387	502
734	1388	500
735	1389	498
736	1391	496
737	1393	494
738	1395	492
739	1396	490
740	1397	488
741	1398	486
742	1400	484
743	1401	482
744	1402	480
745	1403	477
746	1405	476
747	1407	474
748	1409	472
749	1410	470
750	1411	468
751	1412	465
752	1414	463
753	1415	461
754	1416	459
755	1417	457
756	1419	455
757	1422	454
758	1423	452
759	1425	450
760	1426	447
761	1427	445
762	1429	443
763	1430	441
764	1431	439
765	1432	437
766	1434	435
767	1436	433
768	1437	431
769	1439	429
770	1440	427
771	1441	425
772	1442	423
773	1444	421
774	1445	419
775	1446	417
776	1448	415
777	1450	413
778	1452	412
779	1454	410
780	1455	408
781	1456	406
782	1458	404
783	1459	402
784	1460	399
785	1461	397
786	1463	396
787	1465	394
788	1469	392
789	1470	390
790	1472	389
791	1473	387
792	1475	385
793	1476	383
794	1478	381
795	1480	379
796	1482	377
797	1484	375
798	1485	373
799	1486	371
800	1488	369
801	1489	367
802	1490	365
803	1491	363
804	1493	361
805	1496	360
806	1497	358
807	1499	356
808	1500	354
809	1501	352
810	1502	350
811	1503	348
812	1505	346
813	1506	344
814	1508	342
815	1510	340
816	1512	338
817	1513	336
818	1514	334
819	1516	332
820	1517	330
821	1518	328
822	1519	326
823	1520	324
824	1523	323
825	1525	321
826	1526	319
827	1528	317
828	1529	315
829	1530	313
830	1531	311
831	1533	309
832	1534	307
833	1535	305
834	1537	303
835	1539	302
836	1541	300
837	1542	298
838	1543	296
839	1545	294
840	1546	292
841	1547	290
842	1548	288
843	1550	286
844	1552	284
845	1554	282
846	1555	281
847	1557	279
848	1558	277
849	1559	275
850	1560	273
851	1562	271
852	1563	269
853	1564	267
854	1565	265
855	1567	263
856	1570	261
857	1571	260
858	1572	258
859	1573	256
860	1574	254
861	1575	252
862	1576	250
863	1577	248
864	1578	246
865	1580	244
866	1582	242
867	1584	240
868	1585	238
869	1586	237
870	1587	235
871	1588	233
872	1589	231
873	1590	229
874	1591	227
875	1592	225
876	1594	223
877	1597	221
878	1599	220
879	1601	218
880	1602	216
881	1603	214
882	1604	212
883	1605	210
884	1607	208
885	1608	206
886	1610	205
887	1612	203
888	1614	201
889	1615	199
890	1616	197
891	1617	195
892	1618	193
893	1619	192
894	1620	190
895	1621	188
896	1622	186
897	1623	184
898	1625	182
899	1627	180
900	1628	178
901	1629	177
902	1630	175
903	1631	173
904	1632	171
905	1633	169
906	1634	167
907	1635	165
908	1636	163
909	1638	162
910	1639	160
911	1641	158
912	1643	156
913	1644	154
914	1645	152
915	1646	151
916	1648	149
917	1649	147
918	1650	145
919	1651	143
920	1654	141
921	1656	140
922	1657	138
923	1658	136
924	1660	134
925	1661	132
926	1662	130
927	1663	129
928	1665	127
929	1666	125
930	1668	123
931	1670	121
932	1672	120
933	1673	118
934	1674	116
935	1675	114
936	1676	112
937	1678	110
938	1679	109
939	1680	107
940	1682	105
941	1684	103
942	1685	101
943	1686	100
944	1688	98
945	1689	96
946	1690	94
947	1692	92
948	1693	90
949	1694	89
950	1695	87
951	1697	85
952	1699	83
953	1700	81
954	1701	80
955	1702	78
956	1703	76
957	1705	74
958	1706	72
959	1707	71
960	1708	69
961	1710	67
962	1712	65
963	1714	64
964	1715	62
965	1716	60
966	1718	58
967	1719	56
968	1720	55
969	1721	53
970	1723	51
971	1724	49
972	1727	47
973	1728	46
974	1729	44
975	1730	42
976	1732	40
977	1733	38
978	1734	37
979	1735	35
980	1737	33
981	1738	31
982	1740	30
983	1742	28
984	1743	26
985	1744	24
986	1745	22
987	1747	21
988	1748	19
